
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"
# Contour 0, label:       10
-42.1965  11.8619  8 
-42.1939  11.962  8 
-42.1912  12.0621  8 
-42.1886  12.1622  8 
-42.1859  12.2623  8 
-42.1833  12.3624  8 
-42.1806  12.4625  8 
-42.1779  12.5626  8 
-42.1751  12.6627  8 
-42.1724  12.7628  8 
-42.1697  12.8629  8 
-42.1669  12.963  8 
-42.1641  13.0631  8 
-42.1613  13.1632  8 
-42.1585  13.2633  8 
-42.1557  13.3634  8 
-42.1528  13.4635  8 
-42.15  13.5636  8 
-42.1471  13.6637  8 
-42.1442  13.7638  8 
-42.1413  13.8639  8 
-42.1384  13.964  8 
-42.1355  14.0641  8 
-42.1326  14.1642  8 
-42.1296  14.2643  8 
-42.1266  14.3644  8 
-42.1237  14.4645  8 
-42.1207  14.5646  8 
-42.1177  14.6647  8 
-42.1147  14.7648  8 
-42.1116  14.8649  8 
-42.1086  14.965  8 
-42.1055  15.0651  8 
-42.1025  15.1652  8 
-42.0994  15.2653  8 
-42.0963  15.3654  8 
-42.0932  15.4655  8 
-42.0901  15.5656  8 
-42.087  15.6657  8 
-42.0838  15.7658  8 
-42.0807  15.8659  8 
-42.0775  15.966  8 
-42.0744  16.0661  8 
-42.0712  16.1662  8 
-42.068  16.2663  8 
-42.0648  16.3664  8 
-42.0616  16.4665  8 
-42.0584  16.5666  8 
-42.0551  16.6667  8 
-42.0519  16.7668  8 
-42.0486  16.8669  8 
-42.0454  16.967  8 
-42.0421  17.0671  8 
-42.0388  17.1672  8 
-42.0355  17.2673  8 
-42.0322  17.3674  8 
-42.0289  17.4675  8 
-42.0256  17.5676  8 
-42.0223  17.6677  8 
-42.0189  17.7678  8 
-42.0156  17.8679  8 
-42.0122  17.968  8 
-42.0089  18.0681  8 
-42.0055  18.1682  8 
-42.0021  18.2683  8 
-41.9987  18.3684  8 
-41.9953  18.4685  8 
-41.9919  18.5686  8 

-42.3596 -1.05105  8 
-42.3599 -0.950951  8 
-42.3601 -0.850851  8 
-42.3603 -0.750751  8 
-42.3605 -0.650651  8 
-42.3606 -0.550551  8 
-42.3607 -0.45045  8 
-42.3608 -0.35035  8 
-42.3609 -0.25025  8 
-42.361 -0.15015  8 
-42.361 -0.0500501  8 
-42.361  0.0500501  8 
-42.361  0.15015  8 
-42.3609  0.25025  8 
-42.3608  0.35035  8 
-42.3607  0.45045  8 
-42.3606  0.550551  8 
-42.3605  0.650651  8 
-42.3603  0.750751  8 
-42.3601  0.850851  8 
-42.3599  0.950951  8 
-42.3596  1.05105  8 
-42.3593  1.15115  8 
-42.359  1.25125  8 
-42.3587  1.35135  8 
-42.3584  1.45145  8 
-42.358  1.55155  8 
-42.3576  1.65165  8 
-42.3572  1.75175  8 
-42.3567  1.85185  8 
-42.3562  1.95195  8 
-42.3557  2.05205  8 
-42.3552  2.15215  8 
-42.3547  2.25225  8 
-42.3541  2.35235  8 
-42.3535  2.45245  8 
-42.3529  2.55255  8 
-42.3522  2.65265  8 
-42.3516  2.75275  8 
-42.3509  2.85285  8 
-42.3502  2.95295  8 
-42.3494  3.05305  8 
-42.3486  3.15315  8 
-42.3479  3.25325  8 
-42.347  3.35335  8 
-42.3462  3.45345  8 
-42.3453  3.55355  8 
-42.3444  3.65365  8 
-42.3435  3.75375  8 
-42.3426  3.85385  8 
-42.3416  3.95395  8 
-42.3406  4.05405  8 
-42.3396  4.15415  8 
-42.3386  4.25425  8 
-42.3376  4.35435  8 
-42.3365  4.45445  8 
-42.3354  4.55455  8 
-42.3342  4.65465  8 
-42.3331  4.75475  8 
-42.3319  4.85485  8 
-42.3307  4.95495  8 
-42.3295  5.05506  8 
-42.3283  5.15516  8 
-42.327  5.25526  8 
-42.3257  5.35536  8 
-42.3244  5.45546  8 
-42.323  5.55556  8 
-42.3217  5.65566  8 
-42.3203  5.75576  8 
-42.3189  5.85586  8 
-42.3175  5.95596  8 
-42.316  6.05606  8 
-42.3146  6.15616  8 
-42.3131  6.25626  8 
-42.3115  6.35636  8 
-42.31  6.45646  8 
-42.3084  6.55656  8 
-42.3069  6.65666  8 
-42.3052  6.75676  8 
-42.3036  6.85686  8 
-42.302  6.95696  8 
-42.3003  7.05706  8 
-42.2986  7.15716  8 
-42.2969  7.25726  8 
-42.2952  7.35736  8 
-42.2934  7.45746  8 
-42.2916  7.55756  8 
-42.2898  7.65766  8 
-42.288  7.75776  8 
-42.2862  7.85786  8 
-42.2843  7.95796  8 
-42.2824  8.05806  8 
-42.2805  8.15816  8 
-42.2786  8.25826  8 
-42.2766  8.35836  8 
-42.2747  8.45846  8 
-42.2727  8.55856  8 
-42.2707  8.65866  8 
-42.2687  8.75876  8 

-42.2216 -10.8609  8 
-42.2241 -10.7608  8 
-42.2265 -10.6607  8 
-42.2289 -10.5606  8 
-42.2312 -10.4605  8 
-42.2336 -10.3604  8 
-42.2359 -10.2603  8 
-42.2382 -10.1602  8 
-42.2405 -10.0601  8 
-42.2428 -9.95996  8 
-42.2451 -9.85986  8 
-42.2473 -9.75976  8 
-42.2495 -9.65966  8 
-42.2517 -9.55956  8 
-42.2539 -9.45946  8 
-42.2561 -9.35936  8 
-42.2582 -9.25926  8 
-42.2603 -9.15916  8 
-42.2625 -9.05906  8 
-42.2645 -8.95896  8 
-42.2666 -8.85886  8 
-42.2687 -8.75876  8 
-42.2707 -8.65866  8 
-42.2727 -8.55856  8 
-42.2747 -8.45846  8 
-42.2766 -8.35836  8 
-42.2786 -8.25826  8 
-42.2805 -8.15816  8 
-42.2824 -8.05806  8 
-42.2843 -7.95796  8 
-42.2862 -7.85786  8 
-42.288 -7.75776  8 
-42.2898 -7.65766  8 
-42.2916 -7.55756  8 
-42.2934 -7.45746  8 
-42.2952 -7.35736  8 
-42.2969 -7.25726  8 
-42.2986 -7.15716  8 
-42.3003 -7.05706  8 
-42.302 -6.95696  8 
-42.3036 -6.85686  8 
-42.3052 -6.75676  8 
-42.3069 -6.65666  8 
-42.3084 -6.55656  8 
-42.31 -6.45646  8 
-42.3115 -6.35636  8 
-42.3131 -6.25626  8 
-42.3146 -6.15616  8 
-42.316 -6.05606  8 
-42.3175 -5.95596  8 
-42.3189 -5.85586  8 
-42.3203 -5.75576  8 
-42.3217 -5.65566  8 
-42.323 -5.55556  8 
-42.3244 -5.45546  8 
-42.3257 -5.35536  8 
-42.327 -5.25526  8 
-42.3283 -5.15516  8 
-42.3295 -5.05506  8 
-42.3307 -4.95495  8 
-42.3319 -4.85485  8 
-42.3331 -4.75475  8 
-42.3342 -4.65465  8 
-42.3354 -4.55455  8 
-42.3365 -4.45445  8 
-42.3376 -4.35435  8 
-42.3386 -4.25425  8 
-42.3396 -4.15415  8 
-42.3406 -4.05405  8 
-42.3416 -3.95395  8 
-42.3426 -3.85385  8 
-42.3435 -3.75375  8 
-42.3444 -3.65365  8 
-42.3453 -3.55355  8 
-42.3462 -3.45345  8 
-42.347 -3.35335  8 
-42.3479 -3.25325  8 
-42.3486 -3.15315  8 
-42.3494 -3.05305  8 
-42.3502 -2.95295  8 
-42.3509 -2.85285  8 
-42.3516 -2.75275  8 
-42.3522 -2.65265  8 
-42.3529 -2.55255  8 
-42.3535 -2.45245  8 
-42.3541 -2.35235  8 
-42.3547 -2.25225  8 
-42.3552 -2.15215  8 
-42.3557 -2.05205  8 
-42.3562 -1.95195  8 
-42.3567 -1.85185  8 
-42.3572 -1.75175  8 
-42.3576 -1.65165  8 
-42.358 -1.55155  8 
-42.3584 -1.45145  8 
-42.3587 -1.35135  8 
-42.359 -1.25125  8 
-42.3593 -1.15115  8 
-42.3596 -1.05105  8 

-41.9192 -20.6638  8 
-41.9225 -20.5706  8 
-41.926 -20.4705  8 
-41.9295 -20.3704  8 
-41.9331 -20.2703  8 
-41.9366 -20.1702  8 
-41.9401 -20.0701  8 
-41.9436 -19.97  8 
-41.9471 -19.8699  8 
-41.9506 -19.7698  8 
-41.9541 -19.6697  8 
-41.9575 -19.5696  8 
-41.961 -19.4695  8 
-41.9645 -19.3694  8 
-41.9679 -19.2693  8 
-41.9714 -19.1692  8 
-41.9748 -19.0691  8 
-41.9783 -18.969  8 
-41.9817 -18.8689  8 
-41.9851 -18.7688  8 
-41.9885 -18.6687  8 
-41.9919 -18.5686  8 
-41.9953 -18.4685  8 
-41.9987 -18.3684  8 
-42.0021 -18.2683  8 
-42.0055 -18.1682  8 
-42.0089 -18.0681  8 
-42.0122 -17.968  8 
-42.0156 -17.8679  8 
-42.0189 -17.7678  8 
-42.0223 -17.6677  8 
-42.0256 -17.5676  8 
-42.0289 -17.4675  8 
-42.0322 -17.3674  8 
-42.0355 -17.2673  8 
-42.0388 -17.1672  8 
-42.0421 -17.0671  8 
-42.0454 -16.967  8 
-42.0486 -16.8669  8 
-42.0519 -16.7668  8 
-42.0551 -16.6667  8 
-42.0584 -16.5666  8 
-42.0616 -16.4665  8 
-42.0648 -16.3664  8 
-42.068 -16.2663  8 
-42.0712 -16.1662  8 
-42.0744 -16.0661  8 
-42.0775 -15.966  8 
-42.0807 -15.8659  8 
-42.0838 -15.7658  8 
-42.087 -15.6657  8 
-42.0901 -15.5656  8 
-42.0932 -15.4655  8 
-42.0963 -15.3654  8 
-42.0994 -15.2653  8 
-42.1025 -15.1652  8 
-42.1055 -15.0651  8 
-42.1086 -14.965  8 
-42.1116 -14.8649  8 
-42.1147 -14.7648  8 
-42.1177 -14.6647  8 
-42.1207 -14.5646  8 
-42.1237 -14.4645  8 
-42.1266 -14.3644  8 
-42.1296 -14.2643  8 
-42.1326 -14.1642  8 
-42.1355 -14.0641  8 
-42.1384 -13.964  8 
-42.1413 -13.8639  8 
-42.1442 -13.7638  8 
-42.1471 -13.6637  8 
-42.15 -13.5636  8 
-42.1528 -13.4635  8 
-42.1557 -13.3634  8 
-42.1585 -13.2633  8 
-42.1613 -13.1632  8 
-42.1641 -13.0631  8 
-42.1669 -12.963  8 
-42.1697 -12.8629  8 
-42.1724 -12.7628  8 
-42.1751 -12.6627  8 
-42.1779 -12.5626  8 
-42.1806 -12.4625  8 
-42.1833 -12.3624  8 
-42.1859 -12.2623  8 
-42.1886 -12.1622  8 
-42.1912 -12.0621  8 
-42.1939 -11.962  8 
-42.1965 -11.8619  8 
-42.1991 -11.7618  8 
-42.2016 -11.6617  8 
-42.2042 -11.5616  8 
-42.2067 -11.4615  8 
-42.2093 -11.3614  8 
-42.2118 -11.2613  8 
-42.2143 -11.1612  8 
-42.2167 -11.0611  8 
-42.2192 -10.961  8 
-42.2216 -10.8609  8 

-41.568 -30.3804  8 
-41.5716 -30.2803  8 
-41.5752 -30.1802  8 
-41.5787 -30.0801  8 
-41.5823 -29.98  8 
-41.5859 -29.8799  8 
-41.5894 -29.7798  8 
-41.593 -29.6797  8 
-41.5966 -29.5796  8 
-41.6002 -29.4795  8 
-41.6038 -29.3794  8 
-41.6074 -29.2793  8 
-41.611 -29.1792  8 
-41.6146 -29.0791  8 
-41.6182 -28.979  8 
-41.6218 -28.8789  8 
-41.6254 -28.7788  8 
-41.629 -28.6787  8 
-41.6326 -28.5786  8 
-41.6362 -28.4785  8 
-41.6398 -28.3784  8 
-41.6435 -28.2783  8 
-41.6471 -28.1782  8 
-41.6507 -28.0781  8 
-41.6543 -27.978  8 
-41.658 -27.8779  8 
-41.6616 -27.7778  8 
-41.6652 -27.6777  8 
-41.6689 -27.5776  8 
-41.6725 -27.4775  8 
-41.6761 -27.3774  8 
-41.6798 -27.2773  8 
-41.6834 -27.1772  8 
-41.687 -27.0771  8 
-41.6907 -26.977  8 
-41.6943 -26.8769  8 
-41.698 -26.7768  8 
-41.7016 -26.6767  8 
