Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.04    115.51     0.05     2225     0.00     0.00  Grad* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Grad const*, std::vector<Grad, std::allocator<Grad> > >, Grad*, Grad>(__gnu_cxx::__normal_iterator<Grad const*, std::vector<Grad, std::allocator<Grad> > >, __gnu_cxx::__normal_iterator<Grad const*, std::vector<Grad, std::allocator<Grad> > >, Grad*, std::allocator<Grad>&)
  0.03    115.55     0.04  4727481     0.00     0.00  std::vector<Value, std::allocator<Value> > const& std::forward<std::vector<Value, std::allocator<Value> > const&>(std::remove_reference<std::vector<Value, std::allocator<Value> > const&>::type&)
  0.03    115.59     0.04     2225     0.00     0.00  Grad* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<Grad const*, std::vector<Grad, std::allocator<Grad> > >, Grad*>(__gnu_cxx::__normal_iterator<Grad const*, std::vector<Grad, std::allocator<Grad> > >, __gnu_cxx::__normal_iterator<Grad const*, std::vector<Grad, std::allocator<Grad> > >, Grad*)
  0.03    115.63     0.04        1     0.04     0.04  _GLOBAL__sub_I__ZN24Asymmetric_Finite_VolumeC2E4Grid
  0.03    115.67     0.04   159990     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.03    115.70     0.03  4725588     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<Value, std::allocator<Value> > const*, std::vector<std::vector<Value, std::allocator<Value> >, std::allocator<std::vector<Value, std::allocator<Value> > > > >::operator++()
  0.03    115.73     0.03     9999     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.03    115.76     0.03     2225     0.00     0.00  Grad* std::uninitialized_copy<__gnu_cxx::__normal_iterator<Grad const*, std::vector<Grad, std::allocator<Grad> > >, Grad*>(__gnu_cxx::__normal_iterator<Grad const*, std::vector<Grad, std::allocator<Grad> > >, __gnu_cxx::__normal_iterator<Grad const*, std::vector<Grad, std::allocator<Grad> > >, Grad*)
  0.03    115.79     0.03                             Coordinate* std::uninitialized_copy<Coordinate*, Coordinate*>(Coordinate*, Coordinate*, Coordinate*)
  0.02    115.81     0.03  9573138     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<Value, std::allocator<Value> > const*, std::vector<std::vector<Value, std::allocator<Value> >, std::allocator<std::vector<Value, std::allocator<Value> > > > >::base() const
  0.02    115.84     0.03                             void __gnu_cxx::new_allocator<double>::destroy<double>(double*)
  0.02    115.86     0.02  4726956     0.00     0.00  void std::_Destroy<std::vector<Value, std::allocator<Value> > >(std::vector<Value, std::allocator<Value> >*)
  0.02    115.88     0.02  1433493     0.00     0.00  std::vector<Value, std::allocator<Value> >::operator=(std::vector<Value, std::allocator<Value> > const&)
  0.02    115.90     0.02  1433493     0.00     0.00  __gnu_cxx::__normal_iterator<Value*, std::vector<Value, std::allocator<Value> > > std::copy<__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, __gnu_cxx::__normal_iterator<Value*, std::vector<Value, std::allocator<Value> > > >(__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, __gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, __gnu_cxx::__normal_iterator<Value*, std::vector<Value, std::allocator<Value> > >)
  0.02    115.92     0.02    14193     0.00     0.00  std::vector<Value, std::allocator<Value> >* std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<std::vector<Value, std::allocator<Value> > const*, std::vector<Value, std::allocator<Value> >*>(std::vector<Value, std::allocator<Value> > const*, std::vector<Value, std::allocator<Value> > const*, std::vector<Value, std::allocator<Value> >*)
  0.02    115.94     0.02     1616     0.00     0.00  void std::_Construct<std::vector<Grad, std::allocator<Grad> >, std::vector<Grad, std::allocator<Grad> > const&>(std::vector<Grad, std::allocator<Grad> >*, std::vector<Grad, std::allocator<Grad> > const&)
  0.02    115.96     0.02                             void std::allocator_traits<std::allocator<double> >::destroy<double>(std::allocator<double>&, double*)
  0.01    115.97     0.01  9453303     0.00     0.00  std::vector<Value, std::allocator<Value> >* std::__addressof<std::vector<Value, std::allocator<Value> > >(std::vector<Value, std::allocator<Value> >&)
  0.01    115.98     0.01  4725588     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<Value, std::allocator<Value> > const*, std::vector<std::vector<Value, std::allocator<Value> >, std::allocator<std::vector<Value, std::allocator<Value> > > > >::operator*() const
  0.01    115.99     0.01  4725588     0.00     0.00  void std::_Construct<std::vector<Value, std::allocator<Value> >, std::vector<Value, std::allocator<Value> > const&>(std::vector<Value, std::allocator<Value> >*, std::vector<Value, std::allocator<Value> > const&)
  0.01    116.00     0.01  4300479     0.00     0.00  __gnu_cxx::__normal_iterator<Value*, std::vector<Value, std::allocator<Value> > >::__normal_iterator(Value* const&)
  0.01    116.01     0.01  1433493     0.00     0.00  std::vector<Value, std::allocator<Value> >::end()
  0.01    116.02     0.01  1433493     0.00     0.00  std::vector<Value, std::allocator<Value> >::begin()
